Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,UPPAL,VENKATESWARAPAL,8,TEMPORARY SUPPLY,1,1,10,7.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,AKKAMPET,8,TEMPORARY SUPPLY,1,0,0,2.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,ATHMAKUR   (H),8,TEMPORARY SUPPLY,1,0,0,5.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KADIPIKONDA,BODAGUTTA,8,TEMPORARY SUPPLY,1,1,12,1.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KADIPIKONDA,KADIPIKONDA,8,TEMPORARY SUPPLY,12,9,2885,40.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KADIPIKONDA,KOTHAPALLY,8,TEMPORARY SUPPLY,3,2,3,14.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KADIPIKONDA,KUMMARIGUDEM,8,TEMPORARY SUPPLY,1,1,1274,5.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KADIPIKONDA,THARALAPALLY,8,TEMPORARY SUPPLY,2,2,13,7.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,BAPUJINAGAR,8,TEMPORARY SUPPLY,9,9,2152,25.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,JUBILEE MARKET,8,TEMPORARY SUPPLY,1,1,9,2.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,KAZIPET MAIN ROAD,8,TEMPORARY SUPPLY,6,6,2321,16.51
JAGITYAL,JAGITYAL,MALLIAL,KODIMIAL,DABBUTHIMMAIAHPALLY,8,TEMPORARY SUPPLY,1,0,0,3.0
JAGITYAL,JAGITYAL,MALLIAL,KODIMIAL,KODIMYAL,8,TEMPORARY SUPPLY,1,0,0,2.0
JAGITYAL,METPALLY,MALLAPOOR,RAGHAVAPET,SATHARAM,8,TEMPORARY SUPPLY,1,0,0,4.0
JAGITYAL,METPALLY,METPALLY,METPALLY RURAL,AREPET H/0 CHEVULAMA,8,TEMPORARY SUPPLY,1,1,0,5.0
JANGAON,JANGAON,DEVARUPPALA,DEVARUPPALA,DHARAMAPUR,8,TEMPORARY SUPPLY,1,0,0,2.0
JANGAON,JANGAON,JANGAON,PEMBARTHY,SHAMIRPET,8,TEMPORARY SUPPLY,1,0,0,2.0
JANGAON,JANGAON,RAGHUNATHPALLY,NARMETTA,AMMAPUR,8,TEMPORARY SUPPLY,1,1,644,2.0
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,ANNARAM (S),8,TEMPORARY SUPPLY,1,0,0,2.0
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,ARGONDA,8,TEMPORARY SUPPLY,1,1,0,10.0
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,JUVVADI,8,TEMPORARY SUPPLY,1,0,0,2.0
KARIMNAGAR,HUZURABAD,HUZURABAD,PEDDAPAPAIAHPALLY,IPPALNARSINGPUR(HZB),8,TEMPORARY SUPPLY,1,1,369,5.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,NARAYANAGIRI,PEECHARA,8,TEMPORARY SUPPLY,1,1,0,15.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,ATMAKUR,LINGAMADUGUPALLY,8,TEMPORARY SUPPLY,1,1,103,4.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,RAHMATHNAGAR,8,TEMPORARY SUPPLY,8,5,2384,29.51
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,SOMIDI,8,TEMPORARY SUPPLY,8,7,268,19.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,KAZIPET,VISHNUPURI,8,TEMPORARY SUPPLY,4,4,873,20.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,MADIKONDA,MADIKONDA,8,TEMPORARY SUPPLY,39,32,8622,166.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,MADIKONDA,RAMPOOR,8,TEMPORARY SUPPLY,17,13,2334,49.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,MADIKONDA,TEKULAGUDEM,8,TEMPORARY SUPPLY,3,1,193,9.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,NIT,BANK COLONY,8,TEMPORARY SUPPLY,7,4,1503,34.836
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,NIT,DARGA,8,TEMPORARY SUPPLY,15,13,4349,37.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,LATHNURU,8,TEMPORARY SUPPLY,1,0,0,2.0
JAGITYAL,JAGITYAL,MALLIAL,MALLIAL,GUDIPET,8,TEMPORARY SUPPLY,1,0,0,2.0
JAGITYAL,METPALLY,METPALLY,METPALLY RURAL,CHINTHALPET H/O VEMP,8,TEMPORARY SUPPLY,1,1,0,3.0
JAGITYAL,METPALLY,METPALLY,METPALLY RURAL,KONDRAOPETH/O KONDRI,8,TEMPORARY SUPPLY,1,1,0,2.0
JAGITYAL,METPALLY,METPALLY,METPALLY RURAL,KONDRIKARLA,8,TEMPORARY SUPPLY,1,1,0,2.0
JAGITYAL,METPALLY,METPALLY,METPALLY RURAL,MASAIPET,8,TEMPORARY SUPPLY,1,0,0,4.0
