circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW SHASTRY NAGAR- JANAPRIYA O,NON-DOMESTIC AND COMMERCIAL,2,59,54.0,17692,172.04
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,OLD SHASTRY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,8,8.0,500,7.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,OLD SULTAN NAGAR,NON-DOMESTIC AND COMMERCIAL,2,11,8.0,409,17.98
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PANDURANGA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,161,154.0,23828,324.14
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLAND APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,141,131.0,28273,628.62
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLAND WEST,NON-DOMESTIC AND COMMERCIAL,2,235,185.0,39083,700.59
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLANDS (EAST),NON-DOMESTIC AND COMMERCIAL,2,44,34.0,8499,134.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLANDS CT METERS,NON-DOMESTIC AND COMMERCIAL,2,649,529.0,1764585,21805.96
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,HUSSAIN NAGAR,NON-DOMESTIC AND COMMERCIAL,2,29,22.0,4518,41.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KANTHISIKHARA APTS,NON-DOMESTIC AND COMMERCIAL,2,83,70.0,12321,241.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KUNDANBAGH,NON-DOMESTIC AND COMMERCIAL,2,56,44.0,10945,164.32
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY,NON-DOMESTIC AND COMMERCIAL,2,59,52.0,16014,204.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY(APTS),NON-DOMESTIC AND COMMERCIAL,2,8,5.0,1890,24.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,P.J.COLONY,NON-DOMESTIC AND COMMERCIAL,2,236,174.0,45512,611.57
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PREM NAGAR - II,NON-DOMESTIC AND COMMERCIAL,2,27,27.0,3964,44.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PREM NAGAR-OM JHANDA,NON-DOMESTIC AND COMMERCIAL,2,81,73.0,8467,130.58
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,S.N.R.CO-OP SOCIETY,NON-DOMESTIC AND COMMERCIAL,2,103,96.0,20919,229.83
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SANJAY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,10,9.0,918,17.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SHANKARLAL NAGAR (B),NON-DOMESTIC AND COMMERCIAL,2,54,50.0,3946,66.38
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SHANKARLAL NAGAR (S),NON-DOMESTIC AND COMMERCIAL,2,24,23.0,3989,54.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SHANKARLAL NAGAR POCHAMMA TEMP,NON-DOMESTIC AND COMMERCIAL,2,52,52.0,7002,74.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,5,5.0,52,10.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SULTAN NAGAR- MOHAMMADIA,NON-DOMESTIC AND COMMERCIAL,2,72,65.0,7501,98.72
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SULTHAN NAGAR II- UP GALLI,NON-DOMESTIC AND COMMERCIAL,2,75,74.0,11717,131.18
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,P.J.COLONY(APTS),NON-DOMESTIC AND COMMERCIAL,2,12,9.0,3056,47.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,POCHAMMA BASTI,NON-DOMESTIC AND COMMERCIAL,2,184,118.0,27771,427.84
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SHANTHI BAGH,NON-DOMESTIC AND COMMERCIAL,2,7,5.0,1491,15.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA,NON-DOMESTIC AND COMMERCIAL,2,118,72.0,34584,446.48
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA (EXT.),NON-DOMESTIC AND COMMERCIAL,2,84,57.0,22951,295.73
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS,NON-DOMESTIC AND COMMERCIAL,2,239,172.0,42960,1051.79
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS-I,NON-DOMESTIC AND COMMERCIAL,2,129,95.0,22735,438.92
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS-II,NON-DOMESTIC AND COMMERCIAL,2,28,25.0,7371,124.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,5,5.0,1644,10.4
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,TRAFIC SIGNALS & CAMERAS,NON-DOMESTIC AND COMMERCIAL,2,37,37.0,3250,50.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,UMANAGAR,NON-DOMESTIC AND COMMERCIAL,2,104,72.0,35446,617.15
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,VENKATRAM BAGH,NON-DOMESTIC AND COMMERCIAL,2,71,47.0,9011,197.82
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,VENKATESWARA COLONY,NON-DOMESTIC AND COMMERCIAL,2,33,31.0,3952,71.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ZEHRA GULSHAN BAGH,NON-DOMESTIC AND COMMERCIAL,2,140,130.0,29338,432.48
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BABA SAILANI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,34,32.0,5583,33.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BANJARA NAGAR (SOUTH),NON-DOMESTIC AND COMMERCIAL,2,63,60.0,7102,71.98
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BHARAT NAGAR,NON-DOMESTIC AND COMMERCIAL,2,15,13.0,1122,9.96
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BRAHMA SHANKAR NAGAR,NON-DOMESTIC AND COMMERCIAL,2,39,37.0,2502,32.71
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GANGA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,45,41.0,5655,78.64
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,NON-DOMESTIC AND COMMERCIAL,2,124,104.0,256242,1876.06
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,H.F.NAGAR EAST(PHASE-I),NON-DOMESTIC AND COMMERCIAL,2,55,50.0,11248,103.58
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,A.LEELA NAGAR (APPTS.),NON-DOMESTIC AND COMMERCIAL,2,105,77.0,19199,299.3
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET (SHESHMAHAL),NON-DOMESTIC AND COMMERCIAL,2,425,309.0,113020,1003.39
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN RD(APPTS.),NON-DOMESTIC AND COMMERCIAL,2,619,490.0,184604,2303.41
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,NON-DOMESTIC AND COMMERCIAL,2,614,510.0,142396,1332.12
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET(SEESHMAHAL APPTS.),NON-DOMESTIC AND COMMERCIAL,2,230,190.0,47538,847.05
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,ANAND BAGH,NON-DOMESTIC AND COMMERCIAL,2,263,209.0,59671,1058.54
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B K GUDA,NON-DOMESTIC AND COMMERCIAL,2,81,77.0,14915,163.07
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B.K.GUDA DASARAM BASTI,NON-DOMESTIC AND COMMERCIAL,2,131,127.0,19024,204.08
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET EAST,NON-DOMESTIC AND COMMERCIAL,2,147,108.0,19842,329.79
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,H.F.NAGAR WEST(PHASE-I),NON-DOMESTIC AND COMMERCIAL,2,42,41.0,4272,63.04
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,H.F.NAGAR-II,NON-DOMESTIC AND COMMERCIAL,2,82,80.0,7265,84.3
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,INDIRA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,37,34.0,2049,41.76
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,INDIRA NAGAR PHASE-II,NON-DOMESTIC AND COMMERCIAL,2,36,36.0,4227,35.78
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KALYAN NAGAR,NON-DOMESTIC AND COMMERCIAL,2,163,147.0,41544,445.23
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KALYAN NAGAR (W),NON-DOMESTIC AND COMMERCIAL,2,66,63.0,7171,190.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KARMIKA NAGAR (E),NON-DOMESTIC AND COMMERCIAL,2,40,39.0,9669,74.1
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KARMIKA NAGAR (S),NON-DOMESTIC AND COMMERCIAL,2,85,79.0,6676,117.78
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,MADHURA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,30,30.0,2793,54.36
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,MAHATMA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,23,21.0,2807,24.44
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM -I (S),NON-DOMESTIC AND COMMERCIAL,2,79,77.0,13208,127.27
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET WEST,NON-DOMESTIC AND COMMERCIAL,2,162,127.0,38598,348.27
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BAPU NAGAR NORTH,NON-DOMESTIC AND COMMERCIAL,2,549,357.0,186161,1387.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BAPU NAGAR SOUTH,NON-DOMESTIC AND COMMERCIAL,2,418,231.0,131934,846.89
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,C-TYPE QUARTERS,NON-DOMESTIC AND COMMERCIAL,2,177,126.0,43313,402.19
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,NON-DOMESTIC AND COMMERCIAL,2,527,384.0,1420831,16742.96
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,D.K.ROAD,NON-DOMESTIC AND COMMERCIAL,2,142,107.0,31527,362.32
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,D.K.ROAD APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,58,49.0,14077,151.41
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,DIVYASHAKTI APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,46,42.0,9935,155.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE - II,NON-DOMESTIC AND COMMERCIAL,2,22,21.0,2247,27.74
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE - III,NON-DOMESTIC AND COMMERCIAL,2,103,98.0,15861,140.92
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE -I,NON-DOMESTIC AND COMMERCIAL,2,103,100.0,8796,111.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM-III (W),NON-DOMESTIC AND COMMERCIAL,2,65,65.0,4730,76.05
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,NSC BOSE NAGAR,NON-DOMESTIC AND COMMERCIAL,2,30,29.0,3863,30.14
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,PRABHATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,57,56.0,7520,76.04
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,PRATHIBHA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,11,11.0,840,9.04
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,RAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,180,174.0,27335,249.26
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,"RAJEENAGAR,FATIMANAGAR",NON-DOMESTIC AND COMMERCIAL,2,175,166.0,40429,421.15
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,S.R.T.NAGAR,NON-DOMESTIC AND COMMERCIAL,2,112,107.0,17492,157.3
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,SAIBABA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,62,56.0,4320,63.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,ESI QUARTERS,NON-DOMESTIC AND COMMERCIAL,2,23,10.0,478,48.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GAYTHRI NAGR,NON-DOMESTIC AND COMMERCIAL,2,407,354.0,142580,1528.43
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GRC HV S R NAGAR,NON-DOMESTIC AND COMMERCIAL,2,562,386.0,389955,6007.83
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGH VALUE AMEERPET ,NON-DOMESTIC AND COMMERCIAL,2,455,288.0,329802,3994.48
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGHVALUE SR NAGAR NORTH,NON-DOMESTIC AND COMMERCIAL,2,461,336.0,473444,4462.74
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,I.G.PURAM,NON-DOMESTIC AND COMMERCIAL,2,71,57.0,4588,99.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,LEELA NAGAR  ,NON-DOMESTIC AND COMMERCIAL,2,144,96.0,33351,427.87
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,MODEL COLONY APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,105,103.0,27118,469.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,SANJAY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,64,62.0,7325,91.92
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,SERWELL CO-OP SOCIETY,NON-DOMESTIC AND COMMERCIAL,2,42,41.0,9682,133.6
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,SRI RAM NAGAR,NON-DOMESTIC AND COMMERCIAL,2,128,127.0,13965,174.2
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,SRI RAM NAGAR (E),NON-DOMESTIC AND COMMERCIAL,2,99,96.0,15438,148.22
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,SRI RAM NAGAR (N),NON-DOMESTIC AND COMMERCIAL,2,235,224.0,32946,332.43
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,4,4.0,262,6.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,T.ANJAYYA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,31,30.0,6664,64.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,VINAYAK NAGAR,NON-DOMESTIC AND COMMERCIAL,2,39,37.0,2785,35.12
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,ALLAUDDIN KOTI,NON-DOMESTIC AND COMMERCIAL,2,31,24.0,2371,40.44
